,frac_datapoints_explored,Metrics.ACCURACY_at_datavalues,axis
RandomEvaluator(),0.041,0.6100000143051147,0.039282025019538314
RandomEvaluator(),0.042,0.5820000171661377,0.04381427354590969
RandomEvaluator(),0.043,0.5820000171661377,0.043847555516721995
RandomEvaluator(),0.044,0.578000009059906,0.046934438676904305
RandomEvaluator(),0.045,0.578000009059906,0.04882888041447146
RandomEvaluator(),0.046,0.5820000171661377,0.049154550324962736
RandomEvaluator(),0.047,0.5820000171661377,0.0494667605927443
RandomEvaluator(),0.048,0.5879999995231628,0.050990389788333174
RandomEvaluator(),0.049,0.5740000009536743,0.05101289154592886
RandomEvaluator(),0.05,0.5759999752044678,0.052999296451701164
RandomEvaluator(),0.051,0.578000009059906,0.055816541806147216
RandomEvaluator(),0.052,0.5820000171661377,0.05646091948573963
RandomEvaluator(),0.053,0.5839999914169312,0.05719445530094134
RandomEvaluator(),0.054,0.5799999833106995,0.05806845206777528
RandomEvaluator(),0.055,0.578000009059906,0.05835833819696837
RandomEvaluator(),0.056,0.5799999833106995,0.05888005952440206
RandomEvaluator(),0.057,0.5879999995231628,0.05904257214598861
RandomEvaluator(),0.058,0.593999981880188,0.059094170586173965
RandomEvaluator(),0.059,0.6000000238418579,0.061793404406097166
RandomEvaluator(),0.06,0.6119999885559082,0.06297798636879061
RandomEvaluator(),0.061,0.6060000061988831,0.06387518358638361
RandomEvaluator(),0.062,0.5920000076293945,0.06479329396848299
RandomEvaluator(),0.063,0.5920000076293945,0.06493048645054322
RandomEvaluator(),0.064,0.6119999885559082,0.0658897605451706
RandomEvaluator(),0.065,0.6119999885559082,0.0660335167137173
RandomEvaluator(),0.066,0.6240000128746033,0.06613509816475983
RandomEvaluator(),0.067,0.6200000047683716,0.06660313573326124
RandomEvaluator(),0.068,0.621999979019165,0.06681574866093679
RandomEvaluator(),0.069,0.6179999709129333,0.06845403855393692
RandomEvaluator(),0.07,0.5960000157356262,0.06896353639494895
RandomEvaluator(),0.071,0.6019999980926514,0.06910549324324383
RandomEvaluator(),0.072,0.6019999980926514,0.07014848037687915
RandomEvaluator(),0.073,0.6019999980926514,0.07052897958415295
RandomEvaluator(),0.074,0.5899999737739563,0.0706117214910869
RandomEvaluator(),0.075,0.6179999709129333,0.07080385917632463
RandomEvaluator(),0.076,0.6179999709129333,0.07200501974937729
RandomEvaluator(),0.077,0.6200000047683716,0.07316495897013704
RandomEvaluator(),0.078,0.6140000224113464,0.07547499060541396
RandomEvaluator(),0.079,0.6179999709129333,0.07955558307252204
RandomEvaluator(),0.08,0.6159999966621399,0.07998413142532805
RandomEvaluator(),0.081,0.6039999723434448,0.08133099562957884
RandomEvaluator(),0.082,0.5960000157356262,0.08199768665534486
RandomEvaluator(),0.083,0.6060000061988831,0.08285102233692374
RandomEvaluator(),0.084,0.6060000061988831,0.08529054263008251
RandomEvaluator(),0.085,0.6060000061988831,0.08597745281481636
RandomEvaluator(),0.086,0.6179999709129333,0.08599202905377518
RandomEvaluator(),0.087,0.6179999709129333,0.0871539760370287
RandomEvaluator(),0.088,0.6240000128746033,0.08760297872913923
RandomEvaluator(),0.089,0.621999979019165,0.08975252191725375
RandomEvaluator(),0.09,0.621999979019165,0.09024901011595232
RandomEvaluator(),0.091,0.6420000195503235,0.09460363816694227
RandomEvaluator(),0.092,0.6439999938011169,0.09591461980578758
RandomEvaluator(),0.093,0.6359999775886536,0.09692367980981312
RandomEvaluator(),0.094,0.6340000033378601,0.09798878860245189
RandomEvaluator(),0.095,0.6299999952316284,0.09817430026915924
